DeviceTag: 4(left),FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-07-23 20:35:06.543,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
283047,0.3610,-0.0079,-0.0051,0.9325,-0.0120,0.0088,0.4312,0
283214,0.3610,-0.0079,-0.0051,0.9325,0.0032,0.0042,0.4231,0
283381,0.3610,-0.0079,-0.0051,0.9325,0.0142,0.0036,0.4502,0
283547,0.3610,-0.0079,-0.0051,0.9325,-0.0147,0.0125,0.4535,0
283714,0.3610,-0.0079,-0.0051,0.9325,-0.0007,0.0068,0.4349,0
283881,0.3610,-0.0079,-0.0051,0.9325,0.0162,-0.0045,0.4411,0
284047,0.3610,-0.0079,-0.0051,0.9325,-0.0084,-0.0132,0.4386,0
284214,0.3610,-0.0079,-0.0051,0.9325,0.0016,-0.0005,0.4460,0
284381,0.3610,-0.0079,-0.0051,0.9325,0.0138,-0.0030,0.4408,0
284547,0.3610,-0.0079,-0.0051,0.9325,-0.0017,0.0020,0.4279,0
284714,0.3610,-0.0079,-0.0051,0.9325,0.0042,0.0053,0.4296,0
284881,0.3610,-0.0079,-0.0051,0.9325,0.0126,-0.0109,0.4252,0
285047,0.3610,-0.0079,-0.0051,0.9325,-0.0111,-0.0084,0.4287,0
285214,0.3610,-0.0079,-0.0051,0.9325,-0.0088,-0.0104,0.4289,0
285381,0.3610,-0.0079,-0.0051,0.9325,0.0001,0.0004,0.4410,0
285547,0.3610,-0.0079,-0.0051,0.9325,-0.0165,-0.0006,0.4486,0
285714,0.3610,-0.0079,-0.0051,0.9325,0.0078,0.0112,0.4421,0
285881,0.3610,-0.0079,-0.0051,0.9325,0.0046,0.0125,0.4192,0
286047,0.3607,-0.0079,-0.0051,0.9326,0.0088,0.0048,0.4292,0
286214,0.3606,-0.0079,-0.0051,0.9327,0.0154,0.0094,0.3986,0
286381,0.3605,-0.0079,-0.0051,0.9327,-0.0087,0.0036,0.4378,0
286547,0.3605,-0.0079,-0.0051,0.9327,-0.0089,0.0151,0.4187,0
286714,0.3605,-0.0079,-0.0051,0.9327,-0.0004,0.0026,0.4348,0
286881,0.3605,-0.0079,-0.0051,0.9327,-0.0094,0.0003,0.4368,0
287047,0.3605,-0.0079,-0.0051,0.9327,0.0026,-0.0015,0.4616,0
287214,0.3605,-0.0079,-0.0051,0.9327,-0.0043,0.0124,0.4279,0
287381,0.3604,-0.0079,-0.0051,0.9327,-0.0067,-0.0027,0.4402,0
287547,0.3604,-0.0079,-0.0051,0.9327,-0.0014,-0.0038,0.4317,0
287714,0.3604,-0.0079,-0.0051,0.9328,0.0091,0.0217,0.4348,0
287881,0.3604,-0.0079,-0.0051,0.9328,-0.0143,0.0125,0.4293,0
288047,0.3603,-0.0079,-0.0051,0.9328,-0.0010,0.0095,0.4433,0
288214,0.3603,-0.0079,-0.0051,0.9328,-0.0001,0.0040,0.4242,0
288381,0.3602,-0.0079,-0.0051,0.9328,-0.0040,-0.0020,0.4296,0
288547,0.3602,-0.0079,-0.0051,0.9328,0.0059,-0.0086,0.4168,0
288714,0.3602,-0.0079,-0.0051,0.9328,-0.0056,-0.0079,0.4254,0
288881,0.3601,-0.0079,-0.0051,0.9329,-0.0121,0.0099,0.4390,0
289047,0.3601,-0.0079,-0.0051,0.9329,0.0161,0.0056,0.4249,0
289214,0.3601,-0.0079,-0.0051,0.9329,0.0079,0.0282,0.4174,0
289381,0.3601,-0.0079,-0.0051,0.9329,-0.0009,0.0117,0.4227,0
289547,0.3601,-0.0079,-0.0051,0.9329,-0.0039,-0.0052,0.4268,0
289714,0.3600,-0.0079,-0.0051,0.9329,-0.0107,-0.0034,0.4287,0
289881,0.3600,-0.0079,-0.0051,0.9329,-0.0086,-0.0025,0.4239,0
290047,0.3600,-0.0079,-0.0051,0.9329,-0.0005,0.0213,0.4396,0
290214,0.3599,-0.0079,-0.0051,0.9329,-0.0036,0.0019,0.4454,0
290381,0.3599,-0.0079,-0.0051,0.9329,-0.0042,-0.0055,0.4233,0
290547,0.3599,-0.0079,-0.0051,0.9329,-0.0030,0.0037,0.4569,0
290714,0.3598,-0.0079,-0.0051,0.9330,-0.0032,-0.0082,0.4406,0
290881,0.3598,-0.0079,-0.0051,0.9330,0.0056,-0.0069,0.4266,0
291047,0.3598,-0.0079,-0.0051,0.9330,0.0038,-0.0038,0.4287,0
291214,0.3597,-0.0079,-0.0051,0.9330,0.0103,0.0035,0.4277,0
291381,0.3597,-0.0079,-0.0051,0.9330,0.0127,0.0078,0.4329,0
291547,0.3596,-0.0079,-0.0051,0.9330,0.0086,0.0098,0.4282,0
291714,0.3596,-0.0079,-0.0051,0.9331,0.0051,0.0110,0.4162,0
291881,0.3596,-0.0079,-0.0051,0.9331,-0.0098,-0.0039,0.4343,0
292047,0.3595,-0.0079,-0.0051,0.9331,-0.0026,0.0101,0.4399,0
292214,0.3596,-0.0079,-0.0051,0.9331,0.0127,0.0164,0.4329,0
292381,0.3596,-0.0079,-0.0051,0.9331,-0.0107,-0.0039,0.4387,0
292547,0.3595,-0.0079,-0.0051,0.9331,-0.0009,0.0022,0.4278,0
292714,0.3595,-0.0079,-0.0051,0.9331,0.0040,-0.0062,0.4204,0
292881,0.3595,-0.0078,-0.0051,0.9331,-0.0013,-0.0011,0.4299,0
293047,0.3595,-0.0078,-0.0051,0.9331,-0.0032,0.0001,0.4374,0
293214,0.3595,-0.0078,-0.0051,0.9331,0.0098,0.0098,0.4232,0
293381,0.3594,-0.0079,-0.0051,0.9331,0.0078,0.0096,0.4164,0
293547,0.3594,-0.0079,-0.0051,0.9331,-0.0022,0.0183,0.4393,0
293714,0.3594,-0.0079,-0.0051,0.9331,-0.0027,0.0043,0.4373,0
293881,0.3594,-0.0079,-0.0051,0.9331,0.0033,0.0105,0.4380,0
294047,0.3594,-0.0079,-0.0051,0.9331,0.0085,-0.0112,0.4365,0
294214,0.3593,-0.0079,-0.0051,0.9332,0.0077,0.0029,0.4473,0
294381,0.3593,-0.0079,-0.0051,0.9332,0.0111,0.0033,0.4455,0
294547,0.3593,-0.0079,-0.0051,0.9332,0.0074,0.0040,0.4325,0
294714,0.3592,-0.0079,-0.0051,0.9332,-0.0119,0.0154,0.4475,0
294881,0.3592,-0.0079,-0.0051,0.9332,-0.0021,0.0069,0.4218,0
295048,0.3592,-0.0079,-0.0051,0.9332,-0.0064,-0.0011,0.4318,0
295214,0.3592,-0.0079,-0.0051,0.9332,0.0021,0.0046,0.4270,0
295381,0.3591,-0.0079,-0.0051,0.9332,-0.0107,0.0039,0.4272,0
295548,0.3591,-0.0079,-0.0051,0.9332,0.0012,0.0089,0.4120,0
295714,0.3591,-0.0079,-0.0051,0.9332,0.0019,0.0129,0.4552,0
295881,0.3590,-0.0079,-0.0051,0.9333,0.0161,0.0104,0.4347,0
296048,0.3590,-0.0079,-0.0051,0.9333,0.0030,0.0032,0.4312,0
296214,0.3589,-0.0079,-0.0051,0.9333,0.0026,0.0087,0.4221,0
296381,0.3589,-0.0079,-0.0050,0.9333,-0.0113,0.0033,0.4418,0
296548,0.3589,-0.0079,-0.0051,0.9333,-0.0133,0.0045,0.4368,0
296714,0.3589,-0.0079,-0.0051,0.9333,-0.0178,0.0093,0.4279,0
296881,0.3589,-0.0079,-0.0051,0.9333,-0.0145,-0.0080,0.4119,0
297048,0.3589,-0.0079,-0.0051,0.9333,0.0012,0.0016,0.4323,0
297214,0.3589,-0.0079,-0.0051,0.9333,0.0025,0.0204,0.4472,0
297381,0.3588,-0.0079,-0.0051,0.9333,0.0099,0.0080,0.4482,0
297548,0.3588,-0.0079,-0.0051,0.9334,0.0059,0.0096,0.4457,0
297714,0.3588,-0.0079,-0.0051,0.9334,0.0041,0.0012,0.4368,0
297881,0.3588,-0.0079,-0.0051,0.9334,0.0038,0.0071,0.4024,0
298048,0.3587,-0.0079,-0.0051,0.9334,-0.0011,0.0139,0.4465,0
298214,0.3587,-0.0079,-0.0051,0.9334,-0.0028,0.0014,0.4336,0
298381,0.3587,-0.0079,-0.0051,0.9334,0.0069,0.0084,0.4239,0
298548,0.3586,-0.0079,-0.0051,0.9334,0.0030,-0.0018,0.4250,0
298714,0.3586,-0.0079,-0.0051,0.9334,-0.0008,-0.0032,0.4050,0
298881,0.3586,-0.0079,-0.0051,0.9334,-0.0001,0.0056,0.4198,0
299048,0.3586,-0.0079,-0.0051,0.9334,-0.0068,0.0117,0.4288,0
299214,0.3586,-0.0079,-0.0051,0.9334,-0.0016,-0.0038,0.4335,0
299381,0.3586,-0.0079,-0.0051,0.9334,-0.0042,0.0161,0.4560,0
299548,0.3586,-0.0079,-0.0051,0.9335,0.0090,0.0090,0.4380,0
299714,0.3585,-0.0079,-0.0050,0.9335,0.0046,0.0051,0.4311,0
299881,0.3584,-0.0079,-0.0050,0.9335,-0.0059,0.0196,0.4302,0
300048,0.3584,-0.0079,-0.0050,0.9335,0.0030,-0.0073,0.4368,0
300214,0.3584,-0.0079,-0.0050,0.9335,0.0119,-0.0020,0.4457,0
300381,0.3584,-0.0079,-0.0050,0.9335,0.0022,0.0101,0.4222,0
300548,0.3583,-0.0079,-0.0050,0.9335,-0.0026,0.0063,0.4467,0
300714,0.3583,-0.0079,-0.0050,0.9335,0.0046,0.0041,0.4351,0
300881,0.3583,-0.0079,-0.0051,0.9336,-0.0055,-0.0119,0.4409,0
301048,0.3583,-0.0079,-0.0051,0.9336,-0.0111,0.0034,0.4388,0
301214,0.3583,-0.0079,-0.0051,0.9336,0.0131,-0.0054,0.4421,0
301381,0.3583,-0.0079,-0.0051,0.9336,-0.0053,0.0098,0.4372,0
301548,0.3582,-0.0079,-0.0051,0.9336,0.0047,0.0178,0.4350,0
301714,0.3582,-0.0079,-0.0051,0.9336,0.0029,0.0077,0.4321,0
301881,0.3582,-0.0079,-0.0051,0.9336,-0.0169,-0.0117,0.4175,0
302048,0.3582,-0.0079,-0.0051,0.9336,-0.0066,0.0085,0.4292,0
302214,0.3581,-0.0079,-0.0051,0.9336,-0.0113,0.0022,0.4493,0
302381,0.3581,-0.0079,-0.0051,0.9336,-0.0045,0.0025,0.4310,0
302548,0.3581,-0.0079,-0.0051,0.9336,0.0125,-0.0008,0.4135,0
302714,0.3580,-0.0079,-0.0051,0.9337,-0.0014,0.0123,0.4258,0
302881,0.3580,-0.0079,-0.0051,0.9337,0.0114,-0.0005,0.4305,0
303048,0.3580,-0.0078,-0.0051,0.9337,-0.0026,0.0063,0.4223,0
303214,0.3580,-0.0078,-0.0051,0.9337,0.0076,0.0073,0.4434,0
303381,0.3580,-0.0078,-0.0051,0.9337,0.0034,0.0164,0.4284,0
303548,0.3580,-0.0078,-0.0051,0.9337,0.0007,-0.0036,0.4404,0
303714,0.3580,-0.0078,-0.0051,0.9337,0.0064,0.0007,0.4590,0
303881,0.3579,-0.0078,-0.0051,0.9337,0.0034,0.0184,0.4204,0
304048,0.3580,-0.0078,-0.0051,0.9337,-0.0011,0.0082,0.4292,0
304214,0.3579,-0.0078,-0.0051,0.9337,0.0025,0.0001,0.4256,0
304381,0.3579,-0.0078,-0.0051,0.9337,-0.0080,0.0111,0.4484,0
304548,0.3579,-0.0078,-0.0051,0.9337,0.0098,0.0036,0.4424,0
304714,0.3579,-0.0079,-0.0051,0.9337,0.0021,0.0108,0.4227,0
304881,0.3578,-0.0078,-0.0051,0.9337,0.0119,0.0197,0.4263,0
305048,0.3578,-0.0079,-0.0051,0.9337,-0.0107,0.0109,0.4406,0
305214,0.3579,-0.0079,-0.0051,0.9337,0.0086,0.0041,0.4445,0
305381,0.3578,-0.0079,-0.0051,0.9337,0.0028,-0.0056,0.4478,0
305548,0.3578,-0.0078,-0.0051,0.9337,0.0044,0.0009,0.4295,0
305714,0.3578,-0.0079,-0.0051,0.9337,-0.0056,0.0000,0.4268,0
305881,0.3578,-0.0078,-0.0051,0.9337,-0.0026,-0.0044,0.4140,0
306048,0.3578,-0.0078,-0.0051,0.9338,0.0088,0.0075,0.4364,0
306214,0.3578,-0.0078,-0.0051,0.9338,0.0091,0.0050,0.4220,0
306381,0.3578,-0.0079,-0.0051,0.9338,-0.0004,0.0007,0.4432,0
306548,0.3577,-0.0079,-0.0051,0.9338,-0.0066,-0.0030,0.4253,0
306714,0.3577,-0.0078,-0.0051,0.9338,-0.0026,-0.0131,0.4291,0
306881,0.3577,-0.0079,-0.0051,0.9338,0.0028,-0.0156,0.4409,0
307048,0.3576,-0.0079,-0.0051,0.9338,0.0072,0.0010,0.4382,0
307214,0.3576,-0.0079,-0.0051,0.9338,-0.0162,0.0062,0.4315,0
307381,0.3576,-0.0079,-0.0051,0.9338,0.0007,0.0016,0.4325,0
307548,0.3576,-0.0079,-0.0051,0.9338,-0.0088,0.0004,0.4330,0
307714,0.3575,-0.0079,-0.0051,0.9339,0.0074,0.0114,0.4440,0
307881,0.3576,-0.0079,-0.0051,0.9338,0.0030,0.0032,0.4342,0
308048,0.3575,-0.0079,-0.0051,0.9339,0.0049,-0.0141,0.4327,0
308214,0.3575,-0.0079,-0.0051,0.9339,-0.0045,0.0076,0.4268,0
308381,0.3575,-0.0079,-0.0051,0.9339,-0.0062,0.0050,0.4187,0
308548,0.3575,-0.0079,-0.0051,0.9339,-0.0103,-0.0023,0.4262,0
308714,0.3575,-0.0079,-0.0051,0.9339,0.0053,0.0054,0.4239,0
308881,0.3575,-0.0079,-0.0051,0.9339,-0.0060,0.0149,0.4173,0
309048,0.3575,-0.0079,-0.0051,0.9339,-0.0023,-0.0178,0.4461,0
309214,0.3574,-0.0079,-0.0051,0.9339,0.0063,0.0072,0.4382,0
309381,0.3574,-0.0079,-0.0051,0.9339,0.0092,0.0033,0.4281,0
309548,0.3574,-0.0078,-0.0051,0.9339,-0.0062,-0.0043,0.4346,0
309714,0.3574,-0.0079,-0.0051,0.9339,-0.0121,-0.0103,0.4487,0
309881,0.3574,-0.0079,-0.0051,0.9339,-0.0033,0.0005,0.4383,0
310048,0.3574,-0.0078,-0.0051,0.9339,-0.0041,0.0022,0.4319,0
310214,0.3574,-0.0078,-0.0051,0.9339,0.0088,-0.0057,0.4453,0
310381,0.3574,-0.0078,-0.0051,0.9339,0.0048,0.0023,0.4396,0
310548,0.3574,-0.0078,-0.0051,0.9339,-0.0002,-0.0015,0.4547,0
310714,0.3573,-0.0078,-0.0051,0.9339,-0.0072,0.0097,0.4415,0
310881,0.3573,-0.0078,-0.0051,0.9339,-0.0045,0.0017,0.4292,0
311048,0.3573,-0.0078,-0.0051,0.9339,-0.0045,0.0035,0.4624,0
