DeviceTag: 5(right),FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-07-23 20:35:06.006,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
274173,0.0970,-0.0017,0.0047,0.9953,0.1488,0.2334,0.0346,0
274339,0.0969,-0.0016,0.0048,0.9953,0.1318,0.2304,0.0238,0
274506,0.0969,-0.0016,0.0049,0.9953,0.1449,0.2314,0.0153,0
274673,0.0993,-0.0080,-0.0077,0.9950,-0.0028,-0.0059,0.0064,0
274839,0.0992,-0.0080,-0.0077,0.9950,0.0029,0.0014,0.0258,0
275006,0.0992,-0.0079,-0.0077,0.9950,-0.0128,-0.0021,-0.0032,0
275173,0.0992,-0.0079,-0.0077,0.9950,-0.0104,0.0084,0.0379,0
275339,0.0992,-0.0079,-0.0077,0.9950,0.0083,0.0110,0.0097,0
275506,0.0992,-0.0080,-0.0077,0.9950,0.0097,0.0121,-0.0061,0
275673,0.0992,-0.0079,-0.0077,0.9950,-0.0055,-0.0019,-0.0019,0
275839,0.0993,-0.0079,-0.0077,0.9950,0.0063,-0.0019,0.0138,0
276006,0.0993,-0.0079,-0.0077,0.9950,0.0107,-0.0031,0.0192,0
276173,0.0993,-0.0079,-0.0077,0.9950,-0.0012,-0.0162,0.0179,0
276339,0.0993,-0.0079,-0.0077,0.9950,-0.0007,0.0014,-0.0039,0
276506,0.0993,-0.0079,-0.0077,0.9950,-0.0131,-0.0118,0.0186,0
276673,0.0993,-0.0079,-0.0077,0.9950,-0.0036,0.0058,0.0173,0
276839,0.0993,-0.0079,-0.0077,0.9950,0.0014,-0.0120,0.0146,0
277006,0.0994,-0.0079,-0.0077,0.9950,0.0052,0.0051,0.0230,0
277173,0.0994,-0.0079,-0.0077,0.9950,-0.0008,0.0018,0.0048,0
277339,0.0994,-0.0079,-0.0077,0.9950,-0.0114,-0.0128,0.0186,0
277506,0.0994,-0.0080,-0.0077,0.9950,-0.0056,-0.0157,0.0232,0
277673,0.0994,-0.0080,-0.0077,0.9950,-0.0058,0.0165,-0.0004,0
277839,0.0994,-0.0080,-0.0077,0.9950,-0.0188,-0.0044,0.0184,0
278006,0.0994,-0.0080,-0.0077,0.9950,-0.0202,0.0165,0.0118,0
278173,0.0994,-0.0080,-0.0077,0.9950,-0.0051,-0.0105,0.0092,0
278339,0.0994,-0.0080,-0.0077,0.9950,-0.0146,-0.0017,0.0111,0
278506,0.0994,-0.0080,-0.0077,0.9950,-0.0020,-0.0056,0.0112,0
278673,0.0994,-0.0080,-0.0077,0.9950,0.0012,0.0029,-0.0081,0
278839,0.0994,-0.0080,-0.0078,0.9950,0.0007,-0.0052,0.0087,0
279006,0.0994,-0.0080,-0.0078,0.9950,0.0049,-0.0088,0.0077,0
279173,0.0994,-0.0080,-0.0078,0.9950,0.0076,-0.0051,0.0038,0
279339,0.0994,-0.0079,-0.0077,0.9950,0.0098,0.0181,0.0283,0
279506,0.0994,-0.0080,-0.0077,0.9950,0.0045,0.0032,0.0094,0
279673,0.0994,-0.0080,-0.0077,0.9950,-0.0088,0.0005,0.0156,0
279839,0.0994,-0.0080,-0.0078,0.9950,-0.0055,-0.0043,0.0054,0
280006,0.0994,-0.0080,-0.0078,0.9950,0.0064,-0.0115,0.0119,0
280173,0.0994,-0.0080,-0.0078,0.9950,0.0028,-0.0020,0.0166,0
280339,0.0994,-0.0080,-0.0077,0.9950,0.0044,-0.0001,0.0028,0
280506,0.0994,-0.0080,-0.0078,0.9950,0.0027,0.0217,0.0143,0
280673,0.0994,-0.0080,-0.0078,0.9950,0.0003,-0.0000,0.0117,0
280839,0.0994,-0.0080,-0.0078,0.9950,-0.0025,0.0008,0.0212,0
281006,0.0994,-0.0080,-0.0078,0.9950,-0.0104,0.0156,0.0039,0
281173,0.0994,-0.0080,-0.0078,0.9950,0.0147,-0.0040,0.0382,0
281339,0.0994,-0.0080,-0.0078,0.9950,0.0022,-0.0041,0.0122,0
281506,0.0994,-0.0080,-0.0078,0.9950,-0.0072,-0.0054,0.0301,0
281673,0.0994,-0.0080,-0.0078,0.9950,0.0014,-0.0068,0.0067,0
281839,0.0994,-0.0080,-0.0078,0.9950,0.0005,-0.0228,0.0116,0
282006,0.0994,-0.0080,-0.0078,0.9950,0.0046,-0.0141,0.0151,0
282173,0.0994,-0.0080,-0.0078,0.9950,-0.0128,0.0017,0.0493,0
282339,0.0994,-0.0080,-0.0077,0.9950,0.0131,0.0082,0.0156,0
282506,0.0994,-0.0080,-0.0077,0.9950,-0.0084,-0.0015,0.0169,0
282673,0.0994,-0.0080,-0.0077,0.9950,0.0019,-0.0047,0.0306,0
282839,0.0994,-0.0080,-0.0077,0.9950,0.0036,-0.0143,0.0178,0
283006,0.0994,-0.0080,-0.0077,0.9950,0.0020,0.0012,0.0027,0
283173,0.0994,-0.0080,-0.0077,0.9950,-0.0055,0.0052,0.0149,0
283339,0.0995,-0.0080,-0.0077,0.9950,-0.0041,0.0082,0.0277,0
283506,0.0995,-0.0080,-0.0077,0.9950,-0.0053,0.0047,0.0007,0
283673,0.0994,-0.0080,-0.0077,0.9950,-0.0070,-0.0031,0.0160,0
283839,0.0994,-0.0080,-0.0077,0.9950,0.0034,0.0158,0.0198,0
284006,0.0994,-0.0080,-0.0077,0.9950,-0.0012,0.0042,0.0018,0
284173,0.0994,-0.0080,-0.0078,0.9950,0.0084,-0.0014,0.0268,0
284339,0.0994,-0.0080,-0.0077,0.9950,-0.0041,0.0001,0.0191,0
284506,0.0994,-0.0080,-0.0078,0.9950,-0.0077,-0.0063,0.0284,0
284673,0.0995,-0.0080,-0.0077,0.9950,-0.0016,0.0098,0.0238,0
284839,0.0995,-0.0080,-0.0077,0.9950,0.0061,0.0116,0.0200,0
285006,0.0994,-0.0080,-0.0077,0.9950,0.0108,0.0136,0.0028,0
285173,0.0994,-0.0080,-0.0077,0.9950,-0.0007,-0.0068,0.0134,0
285339,0.0995,-0.0080,-0.0077,0.9950,-0.0084,-0.0031,0.0162,0
285506,0.0995,-0.0080,-0.0077,0.9950,-0.0084,-0.0045,0.0264,0
285673,0.0995,-0.0080,-0.0078,0.9950,0.0048,-0.0194,0.0078,0
285839,0.0995,-0.0080,-0.0078,0.9950,-0.0025,-0.0097,0.0070,0
286006,0.0995,-0.0080,-0.0077,0.9950,0.0042,0.0132,0.0016,0
286173,0.0995,-0.0080,-0.0078,0.9950,-0.0140,0.0083,0.0273,0
286339,0.0995,-0.0080,-0.0078,0.9950,0.0068,-0.0057,0.0135,0
286506,0.0995,-0.0080,-0.0078,0.9950,0.0082,0.0055,0.0055,0
286673,0.0995,-0.0079,-0.0077,0.9950,0.0056,-0.0047,0.0259,0
286839,0.0995,-0.0079,-0.0078,0.9950,0.0047,-0.0111,0.0140,0
