DeviceTag: 3,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-07-23 20:35:06.348,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
264012,0.2681,-0.0046,-0.0121,0.9633,0.0020,-0.0838,0.0697,0
264178,0.2681,-0.0046,-0.0122,0.9633,-0.0112,-0.0932,0.0802,0
264345,0.2681,-0.0046,-0.0123,0.9633,-0.0016,-0.0931,0.0658,0
264512,0.2681,-0.0045,-0.0125,0.9633,-0.0179,-0.1005,0.0785,0
264678,0.2680,-0.0045,-0.0126,0.9633,0.0092,-0.0884,0.0622,0
264845,0.2680,-0.0045,-0.0127,0.9633,0.0111,-0.0880,0.0827,0
265012,0.2679,-0.0045,-0.0128,0.9633,-0.0061,-0.0925,0.0659,0
265178,0.2678,-0.0044,-0.0129,0.9634,-0.0054,-0.1037,0.0968,0
265345,0.2678,-0.0044,-0.0131,0.9634,0.0007,-0.0983,0.0862,0
265512,0.2677,-0.0044,-0.0132,0.9634,0.0037,-0.0950,0.0809,0
265678,0.2678,-0.0043,-0.0133,0.9634,-0.0227,-0.1059,0.0578,0
265845,0.2678,-0.0043,-0.0134,0.9634,0.0135,-0.1025,0.0936,0
266012,0.2679,-0.0043,-0.0135,0.9634,0.0005,-0.1017,0.0851,0
266178,0.2677,-0.0043,-0.0137,0.9634,-0.0057,-0.1100,0.0548,0
266345,0.2676,-0.0042,-0.0138,0.9634,-0.0054,-0.1157,0.0672,0
266512,0.2677,-0.0042,-0.0139,0.9634,-0.0076,-0.1303,0.0800,0
266678,0.2674,-0.0042,-0.0140,0.9635,-0.0025,-0.1223,0.0876,0
266845,0.2674,-0.0041,-0.0141,0.9635,-0.0019,-0.1171,0.0611,0
267012,0.2673,-0.0041,-0.0143,0.9635,0.0077,-0.1245,0.0773,0
267178,0.2677,-0.0041,-0.0144,0.9634,0.0065,-0.1343,0.0823,0
267345,0.2675,-0.0040,-0.0145,0.9634,-0.0038,-0.1253,0.0713,0
267512,0.2674,-0.0040,-0.0146,0.9635,0.0004,-0.1463,0.0782,0
267678,0.2674,-0.0040,-0.0147,0.9635,-0.0116,-0.1444,0.0869,0
267845,0.2675,-0.0040,-0.0148,0.9634,-0.0145,-0.1345,0.0897,0
268012,0.2674,-0.0039,-0.0150,0.9635,-0.0042,-0.1415,0.0704,0
268178,0.2675,-0.0039,-0.0151,0.9634,0.0032,-0.1541,0.0659,0
268345,0.2677,-0.0039,-0.0152,0.9634,0.0059,-0.1351,0.0782,0
268512,0.2676,-0.0038,-0.0153,0.9634,0.0078,-0.1348,0.0898,0
268678,0.2675,-0.0038,-0.0154,0.9634,0.0109,-0.1418,0.0829,0
268845,0.2674,-0.0038,-0.0155,0.9634,-0.0085,-0.1542,0.0761,0
269012,0.2673,-0.0037,-0.0156,0.9635,-0.0067,-0.1688,0.0731,0
269178,0.2672,-0.0037,-0.0158,0.9635,-0.0009,-0.1499,0.0708,0
269345,0.2672,-0.0037,-0.0159,0.9635,0.0101,-0.1769,0.0783,0
269512,0.2671,-0.0037,-0.0160,0.9635,-0.0035,-0.1600,0.0845,0
269678,0.2670,-0.0036,-0.0161,0.9636,0.0018,-0.1544,0.0669,0
269845,0.2673,-0.0036,-0.0162,0.9635,-0.0011,-0.1699,0.0845,0
270012,0.2671,-0.0036,-0.0163,0.9635,-0.0023,-0.1610,0.0525,0
270178,0.2670,-0.0035,-0.0164,0.9635,-0.0024,-0.1585,0.0886,0
270345,0.2670,-0.0035,-0.0165,0.9636,-0.0094,-0.1634,0.0578,0
270512,0.2669,-0.0035,-0.0166,0.9636,0.0003,-0.1673,0.0879,0
270678,0.2669,-0.0035,-0.0167,0.9636,0.0126,-0.1771,0.0774,0
270845,0.2668,-0.0034,-0.0169,0.9636,0.0019,-0.1675,0.0861,0
271012,0.2667,-0.0034,-0.0170,0.9636,-0.0042,-0.1716,0.0489,0
271178,0.2668,-0.0034,-0.0171,0.9636,0.0021,-0.1710,0.0826,0
271345,0.2667,-0.0033,-0.0172,0.9636,-0.0058,-0.1809,0.0820,0
271512,0.2665,-0.0033,-0.0173,0.9637,-0.0042,-0.1863,0.0690,0
271678,0.2665,-0.0033,-0.0174,0.9637,-0.0025,-0.1931,0.0926,0
271845,0.2664,-0.0033,-0.0175,0.9637,0.0212,-0.1839,0.0819,0
272012,0.2663,-0.0032,-0.0176,0.9637,0.0184,-0.1851,0.0784,0
272178,0.2662,-0.0032,-0.0177,0.9637,-0.0115,-0.2049,0.0763,0
272345,0.2661,-0.0032,-0.0178,0.9638,-0.0032,-0.1978,0.0783,0
272512,0.2660,-0.0032,-0.0179,0.9638,0.0074,-0.2003,0.0908,0
272678,0.2660,-0.0031,-0.0180,0.9638,-0.0046,-0.1972,0.0791,0
272845,0.2659,-0.0031,-0.0181,0.9638,-0.0071,-0.1983,0.0749,0
273012,0.2659,-0.0031,-0.0182,0.9638,-0.0004,-0.1973,0.0659,0
273178,0.2658,-0.0031,-0.0183,0.9639,0.0205,-0.1995,0.0696,0
273345,0.2658,-0.0031,-0.0183,0.9638,0.0044,-0.2052,0.0741,0
273512,0.2658,-0.0030,-0.0184,0.9638,-0.0073,-0.1939,0.0725,0
273678,0.2657,-0.0030,-0.0185,0.9639,-0.0161,-0.2061,0.0646,0
273845,0.2656,-0.0030,-0.0186,0.9639,0.0130,-0.2095,0.0610,0
274012,0.2656,-0.0030,-0.0187,0.9639,-0.0086,-0.2016,0.0635,0
274178,0.2655,-0.0030,-0.0188,0.9639,-0.0132,-0.2024,0.0525,0
274345,0.2655,-0.0030,-0.0189,0.9639,0.0025,-0.2273,0.0937,0
274512,0.2655,-0.0029,-0.0190,0.9639,0.0033,-0.2224,0.0830,0
274678,0.2655,-0.0029,-0.0191,0.9639,0.0091,-0.2112,0.0919,0
274845,0.2653,-0.0029,-0.0192,0.9640,-0.0112,-0.2223,0.0822,0
275012,0.2653,-0.0029,-0.0193,0.9640,-0.0066,-0.2317,0.0890,0
275178,0.2652,-0.0029,-0.0194,0.9640,0.0029,-0.2342,0.0769,0
275345,0.2652,-0.0028,-0.0194,0.9640,-0.0084,-0.2219,0.0925,0
275512,0.2652,-0.0028,-0.0195,0.9640,-0.0084,-0.2398,0.1010,0
