DeviceTag: 1(up),FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-07-23 20:35:06.704,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
278826,0.4525,0.0090,-0.0037,0.8917,0.5146,-0.3464,5.8612,0
278993,0.4526,0.0092,-0.0037,0.8917,0.5222,-0.3520,5.8119,0
279160,0.4526,0.0094,-0.0038,0.8916,0.5237,-0.3582,5.8063,0
279326,0.4527,0.0096,-0.0038,0.8916,0.5405,-0.3609,5.8401,0
279493,0.4528,0.0099,-0.0038,0.8915,0.5371,-0.3574,5.8567,0
279660,0.4529,0.0101,-0.0038,0.8915,0.5424,-0.3677,5.7906,0
279826,0.4529,0.0103,-0.0039,0.8915,0.5573,-0.3556,5.8619,0
279993,0.4530,0.0105,-0.0039,0.8914,0.5686,-0.3655,5.8004,0
280160,0.4531,0.0108,-0.0039,0.8914,0.5559,-0.3768,5.8396,0
280326,0.4531,0.0110,-0.0039,0.8914,0.5628,-0.3706,5.8286,0
280493,0.4532,0.0112,-0.0040,0.8913,0.5659,-0.3799,5.8229,0
280660,0.4533,0.0114,-0.0040,0.8913,0.5723,-0.3984,5.8228,0
280826,0.4534,0.0116,-0.0040,0.8912,0.5916,-0.3849,5.8397,0
280993,0.4534,0.0118,-0.0040,0.8912,0.5975,-0.3984,5.8303,0
281160,0.4535,0.0121,-0.0041,0.8912,0.6044,-0.4098,5.8418,0
281326,0.4536,0.0123,-0.0041,0.8911,0.6141,-0.4080,5.8080,0
281493,0.4537,0.0125,-0.0041,0.8911,0.6046,-0.4040,5.8271,0
281660,0.4537,0.0127,-0.0041,0.8910,0.6170,-0.4119,5.8140,0
281826,0.4538,0.0130,-0.0042,0.8910,0.6038,-0.4039,5.8076,0
281993,0.4539,0.0132,-0.0042,0.8910,0.6189,-0.4150,5.8172,0
282160,0.4531,-0.0120,-0.0014,0.8914,-0.0343,-0.0052,5.8355,0
282326,0.4531,-0.0120,-0.0014,0.8914,-0.0477,-0.0035,5.8743,0
282493,0.4530,-0.0120,-0.0014,0.8914,-0.0373,0.0209,5.8087,0
282660,0.4530,-0.0120,-0.0014,0.8914,-0.0313,0.0211,5.8041,0
282826,0.4530,-0.0120,-0.0014,0.8915,-0.0272,0.0075,5.8673,0
282993,0.4529,-0.0120,-0.0014,0.8915,-0.0202,0.0138,5.8622,0
283160,0.4529,-0.0120,-0.0014,0.8915,-0.0372,0.0044,5.8759,0
283326,0.4528,-0.0120,-0.0014,0.8915,-0.0297,0.0163,5.8215,0
283493,0.4528,-0.0120,-0.0014,0.8915,-0.0296,0.0151,5.7965,0
283660,0.4528,-0.0120,-0.0014,0.8915,-0.0243,0.0311,5.8237,0
283826,0.4528,-0.0120,-0.0014,0.8916,-0.0214,0.0017,5.8424,0
283993,0.4527,-0.0120,-0.0014,0.8916,-0.0169,0.0161,5.8274,0
284160,0.4527,-0.0120,-0.0014,0.8916,-0.0183,0.0163,5.8209,0
284326,0.4527,-0.0120,-0.0014,0.8916,-0.0280,0.0074,5.8258,0
284493,0.4526,-0.0120,-0.0014,0.8916,-0.0325,0.0229,5.8475,0
284660,0.4526,-0.0120,-0.0014,0.8916,-0.0357,0.0061,5.8264,0
284826,0.4526,-0.0120,-0.0014,0.8916,-0.0355,0.0135,5.8416,0
284993,0.4526,-0.0120,-0.0014,0.8917,-0.0321,0.0090,5.8519,0
285160,0.4525,-0.0120,-0.0014,0.8917,-0.0168,0.0206,5.8437,0
285326,0.4525,-0.0120,-0.0014,0.8917,-0.0030,0.0075,5.8518,0
285493,0.4525,-0.0120,-0.0014,0.8917,-0.0279,0.0200,5.8353,0
285660,0.4524,-0.0120,-0.0014,0.8917,-0.0288,0.0030,5.8618,0
285826,0.4524,-0.0120,-0.0014,0.8917,-0.0274,0.0053,5.8334,0
285993,0.4524,-0.0120,-0.0014,0.8917,-0.0346,0.0020,5.8139,0
286160,0.4524,-0.0120,-0.0014,0.8918,-0.0354,0.0227,5.8439,0
286326,0.4523,-0.0120,-0.0014,0.8918,-0.0311,0.0166,5.8484,0
286493,0.4523,-0.0120,-0.0014,0.8918,-0.0203,0.0064,5.8210,0
286660,0.4523,-0.0120,-0.0014,0.8918,-0.0220,0.0321,5.8548,0
286826,0.4523,-0.0120,-0.0014,0.8918,-0.0144,0.0041,5.8516,0
286993,0.4522,-0.0120,-0.0014,0.8918,-0.0187,0.0127,5.8454,0
287160,0.4522,-0.0119,-0.0014,0.8918,-0.0276,0.0000,5.8515,0
287326,0.4522,-0.0119,-0.0014,0.8919,-0.0402,0.0248,5.7936,0
